id,name,level,craftingPrice,material1,base1,count1,material2,base2,count2,material3,base3,count3,material4,base4,count4,material5,base5,count5
70,라임 그린꽃 중간벽,27,882,찻잎,0,5,고급 나무 판자,1,3,못,1,1,,,,,,
71,네이비 도트 베이킹 세트,27,736,고무,0,5,나무 판자,1,5,금속판,1,2,,,,,,
72,네이비 도트 주방 식기 행거,27,2875,프라이팬,1,1,팬 식기 우드 행거,1,1,무명천,1,5,,,,,,
73,유러피안 2인 소파,27,5362,고급 나무 판자,1,8,유러피안 1인 소파,1,2,토끼털,0,8,,,,,,
74,해피바스 헤어 트리트먼트 테이블,28,948,라벤더,0,6,우드 레이스 테이블,1,1,밀,0,10,유리병,1,1,,,
75,네이비 도트 식기 선반,28,4397,프라이팬,1,2,고급 나무 판자,1,5,호스타 우드 플랜터,1,1,그릇,1,2,,,
76,해피바스 화이트 원목 액자,29,854,못,1,1,고급 나무 판자,1,2,가죽끈,1,5,나무 판자,1,2,,,
77,하늘 넝쿨 중간벽,29,1095,못,1,2,고급 나무 중간벽,1,1,고급 나무 판자,1,4,블루베리,0,2,,,
78,해피바스 싱그러운 화병 창문,29,2980,유리병,1,1,화이트 블라인드 창문,1,2,묘목,0,1,,,,,,
79,화이트 도트 중간벽,30,1228,고급 나무 판자,1,4,종이,1,7,시멘트,1,1,,,,,,
80,해피바스 리본 빗자루,32,1094,고급 나무 막대기,1,4,빨간 리본 빗자루,1,1,가죽 태슬,1,3,,,,,,
81,클린 우드 빗자루,33,971,고급 나무 막대기,1,5,빨간 리본 빗자루,1,1,못,1,3,고무,0,3,,,
82,네이비 도트 원형 스툴,33,1452,브라운 투톤 스툴,1,1,파란 톱니 물약,1,1,,,,,,,,,
83,티 사이드 테이블,33,2333,단풍나무 목재,0,10,고급 나무 판자,1,5,모던레더 우드 테이블,1,1,,,,,,
84,앨리스 키친 카운터,35,2192,레이스,1,1,고급 나무 판자,1,5,고급 나무 막대기,1,4,실크,1,2,,,
85,우드 레스토랑 보드,36,4559,고래기름,1,3,고급 나무 판자,1,6,석회석,0,2,,,,,,
86,은은한 향초 테이블,36,2070,우드라운드 미니 테이블,1,1,라벤더향 디퓨저,1,1,,,,,,,,,
87,앨리스 키친 더블 카운터,36,7093,금속 막대기,1,4,앨리스 키친 카운터,1,2,못,1,6,,,,,,
88,앨리스 키친 티 테이블,38,4531,고급 나무 판자,1,4,앨리스 키친 카운터,1,1,못,1,6,,,,,,
89,유러피안 벨라 침대,39,15180,실크,1,20,금 막대기,1,6,고급 나무 판자,1,20,토끼털,0,20,베이직 코튼 침대,1,1
90,오동나무 막대기,40,226,오동나무 목재,0,1,,,,,,,,,,,,
91,오동나무 판자,40,452,오동나무 목재,0,2,,,,,,,,,,,,
92,가드닝 파티 원목 의자,40,6248,실크,1,3,앨리스 키친 쿠션 의자,1,1,오동나무 막대기,1,4,양털,0,10,,,
93,가드닝 파티 원목 쿠션 벤치,40,12666,오동나무 판자,1,4,가드닝 파티 원목 의자,1,1,못,1,4,고급 나무 막대기,1,10,,,
94,가드닝 파티 원형 테이블,40,9168,금,0,3,앨리스 키친 카운터,1,1,오동나무 막대기,1,10,식탁보,1,3,은,0,3
95,가드닝 파티 기다란 테이블,40,22147,금,0,6,앨리스 키친 더블 카운터,1,1,오동나무 판자,1,10,식탁보,1,6,은,0,6
96,기다란 예약 손님 테이블,40,42680,통통비치 해변 램프,1,1,화려한 은제 촛대,1,1,가드닝 파티 기다란 테이블,1,1,하우스 뷔페 은제 그릇,1,1,식기 세트,1,4
97,플라워 파티 알림판,40,5415,금 막대기,1,4,오동나무 판자,1,2,흰산호,0,5,미니 레드 스퀘어 화병,1,1,,,
98,가드닝 파티 샐러드 바,41,17882,후레쉬 치킨 샐러드,1,1,가드닝 파티 청정 화분,1,1,오동나무 판자,1,5,초밥 세트,1,1,오동나무 막대기,1,4
99,용감한 모험가의 모형 배,41,4017,토끼털,0,5,오동나무 막대기,1,3,오동나무 판자,1,3,실크,1,2,빨간 무명천,1,1
100,활짝 핀 프리지아 미니꽃병,42,4601,화병,1,1,노란 프리지아 화병,1,1,지그재그 물조리개,1,1,파란 톱니 물약,1,2,,,
101,자연주의 에코 나뭇잎 벽지,42,12724,오동나무 판자,1,8,하늘 넝쿨 벽지,1,1,초록빛 10종 랜덤 염색약,1,1,종이,1,10,,,
102,자연주의 에코 스톤 타일 바닥,42,11843,조개,0,5,퓨어 화이트 타일,1,1,흰산호,0,5,자수정,0,2,,,
103,포레스트 더블 도어 현관문,42,28417,시멘트,1,5,로즈우드 앤틱 문,1,4,오동나무 판자,1,8,은 막대기,1,4,,,
104,포레스트 케이스먼트 창문,42,20065,시멘트,1,3,아쿠아 레이스 창문,1,4,오동나무 판자,1,6,못,1,6,,,
105,원트리 숲속의 괘종시계,42,3647,오동나무 목재,0,6,모던레더 탁상 시계,1,1,금,0,5,유리,1,4,,,
106,깅코 1인 덩굴 체어,43,6079,오동나무 막대기,1,5,고무,0,4,통통비치 철제 야외 의자,1,1,금,0,6,나무 넝쿨,0,2
107,원트리 사무용 의자,43,4120,오동나무 막대기,1,4,로즈우드 앤틱 의자,1,1,오동나무 판자,1,2,패브릭 3종 세트,1,1,,,
108,깅코 2인 덩굴 체어,43,18720,오동나무 판자,1,2,깅코 1인 덩굴 체어,1,2,못,1,4,,,,,,
109,밀크 화이트 원목 장식장,43,5385,율마 자기 화분,1,1,유러피안 미니 협탁,1,1,책,1,8,알루미늄 금속,1,4,,,
110,원트리 포레스트 테이블,43,11984,유리,1,4,오동나무 판자,1,2,가드닝 파티 청정 화분,1,1,오동나무 막대기,1,6,,,
111,원트리 사무용 책상,43,18541,연금술 입문서,1,1,깔끔한 화이트 프레임 유리 보조 탁자,1,1,오동나무 판자,1,4,가죽 주머니,1,1,,,
112,테트리 원목 수납장,43,7530,못,1,6,올리브 그린 포슬린,1,1,오동나무 판자,1,8,책,1,6,플라워 선인장 화분,1,1
113,초록잎 원목 수납 벤치,44,9296,못,1,4,모던레더 사이드 테이블,1,1,오동나무 판자,1,4,식탁보,1,2,,,
114,자연주의 에코 브릭 벽지,44,27556,레몬,0,6,오동나무 판자,1,6,자연주의 에코 나뭇잎 벽지,1,1,시멘트,1,6,빨간 황소 물약,1,2
115,초록잎 머그 행거 선반,44,11443,오동나무 목재,0,4,식탁보,1,2,티포트 세트 선반,1,1,알루미늄 금속,1,3,따뜻한 오늘의 커피,1,1
116,호두나무 막대기,44,945,고급 나무 막대기,1,2,호두나무 목재,0,2,달걀,0,3,,,,,,
117,호두나무 판자,45,1586,고급 나무 판자,1,2,호두나무 목재,0,3,고무,0,3,,,,,,
118,월넛 테슬 의자,45,13482,가죽 태슬,1,4,호두나무 판자,1,2,호두나무 막대기,1,3,앨리스 키친 쿠션 의자,1,1,흰산호,0,5
119,월넛 접견실 테이블,45,39362,꿀레몬청,1,5,호두나무 판자,1,3,호두나무 막대기,1,6,깔끔한 화이트 프레임 유리 보조 탁자,1,1,데코협회 감사 뱃지,0,30
120,월넛 노블레스 책장,45,22241,책,1,6,테트리 원목 수납장,1,1,호두나무 판자,1,4,금사 타래,1,2,,,
121,월넛 노블레스 파티션,47,10916,금속 막대기,1,6,깔끔한 화이트 프레임 유리 파티션,1,1,호두나무 판자,1,3,유리,1,2,,,
122,노블레스 하프시코드,50,52154,흰산호,0,7,호두나무 판자,1,6,가드닝 파티 기다란 테이블,1,1,백금 금속,1,6,데코협회 감사 뱃지,0,40
123,로얄 노블레스 옷장,50,26585,밀크 화이트 원목 장식장,1,1,가봉을 마친 에이프런 프릴 원피스,1,1,테트리 원목 수납장,1,1,금 막대기,1,1,밤을 새운 부엉이 머그잔,1,1
124,노블레스 오브제 테이블,51,26634,로지 로즈티,1,1,가드닝 파티 원형 테이블,1,1,호두나무 막대기,1,5,파란 톱니 물약,1,1,,,
125,노블레스 지오메트리 현관문,54,172479,로얄 노블레스 옷장,1,2,포레스트 더블 도어 현관문,1,1,월넛 노블레스 파티션,1,2,호두나무 판자,1,9,데코협회 감사 뱃지,0,75
126,노블레스 임페리얼 침대,55,230390,데코협회 감사 뱃지,0,60,벨벳천,1,8,유러피안 벨라 침대,1,2,노블레스 침실 벽조명,1,2,원트리 숲속의 괘종시계,1,3
127,노블레스 로얄 다이닝 테이블,56,198986,접견실 백금 촛대,1,3,노블레스 골든 파티션,1,1,노블레스 오브제 테이블,1,2,백금 과일 접시,1,2,월넛 접견실 테이블,1,1
128,노블레스 월넛 키친 카운터,57,16557,고래기름,1,2,별빛 목재,0,3,앨리스 키친 카운터,1,2,티 사이드 테이블,1,1,데코협회 뱃지,0,20
129,노블레스 월넛 키친 코너 카운터,58,75915,별빛 목재,0,12,벨벳천,1,2,노블레스 월넛 키친 카운터,1,2,하우스 뷔페 은제 그릇,1,3,백금 금속,1,3
130,노블레스 후면 다이닝 테슬 의자,59,41762,가드닝 파티 원목 의자,1,1,별빛 목재,0,10,플라워 파티 알림판,1,1,월넛 테슬 의자,1,1,,,
131,로얄 노블레스 월넛 찬장,60,70225,깔끔한 화이트 프레임 유리 파티션,1,7,월넛 노블레스 책장,1,1,원트리 숲속의 괘종시계,1,1,티타임 캐니스터 세트,1,1,데코협회 감사 뱃지,0,50
132,노블레스 로얄 와인 진열대,60,32346,원트리 포레스트 테이블,1,1,별빛 목재,0,6,금속판,1,7,호두나무 판자,1,4,,,
133,노블레스 그린 실크 테슬장식 창문,61,325009,월넛 노블레스 파티션,1,5,포레스트 케이스먼트 창문,1,5,별빛 목재,0,7,초록잎 머그 행거 선반,1,5,은 막대기,1,5
134,노블레스 화이트 마블 파티션,61,19373,백금 원석,0,2,노블레스 골든 파티션,1,1,별빛 목재,0,2,,,,,,
135,노블레스 원목 수납장,64,72857,용감한 모험가의 모형 배,1,1,벨벳천,1,8,테트리 원목 수납장,1,2,별빛 목재,0,10,금 막대기,1,6
136,노블레스 아이보리 원목 테이블,64,92115,금,0,8,호두나무 판자,1,3,노블레스 오브제 테이블,1,2,별빛 목재,0,8,흰산호,0,10
137,화이트엔젤 책상,66,75419,고무,0,10,라벤더,0,10,월넛 접견실 테이블,1,1,별빛 원석,0,3,보라빛 6종 랜덤 염색약,1,1
138,화이트엔젤 보건소 벽지,70,139470,자연주의 에코 브릭 벽지,1,1,별빛 목재,0,3,노블레스 실링골드 벽지,1,1,라벤더,0,5,옹기종기 털실 바구니,1,3
139,화이트엔젤 보건소 타일,70,143340,자연주의 에코 브릭 바닥,1,1,별빛 목재,0,3,노블레스 펠리스 바닥,1,1,라벤더,0,5,분홍 장미,1,3
140,화이트엔젤 서랍장,72,55721,별빛 목재,0,3,깔끔한 화이트 철제 캐비닛,1,2,노블레스 오브제 테이블,1,1,라벤더,0,5,초콜릿,1,2
141,화이트엔젤 약병 진열장,75,60945,별빛 약수,0,6,초록잎 원목 수납 벤치,1,1,로얄 노블레스 옷장,1,1,유리병,1,5,,,
142,화이트엔젤 보조 탁자,76,32299,별빛 원석,0,3,라벤더,0,3,원트리 포레스트 테이블,1,1,자주빛 6종 랜덤 염색약,1,1,고무,0,6
143,별빛 숲속 캠핑장 이정표,78,50938,호두나무 막대기,1,5,호두나무 판자,1,4,노블레스 화이트 마블 파티션,1,1,별빛 이끼,0,7,,,
144,별빛 숲속 캠핑장 캠핑용 냄비,79,79343,노블레스 철제 스토브,1,1,호두나무 판자,1,2,별빛 원석,0,5,,,,,,
145,별빛 숲속 캠핑장 작은 모닥불,80,134770,노블레스 소형 벽난로,1,3,흙,0,10,석회석,0,8,오동나무 목재,0,4,호두나무 막대기,1,8
146,별빛 숲속 캠핑장 통나무 벤치,81,134653,루비,0,5,노블레스 스타케이지 조명,1,3,오동나무 목재,0,4,별빛 약수,0,5,노블레스 다이닝 테슬 의자,1,1
147,별빛 숲속 캠핑장 캠프파이어 송,81,190232,금사 타래,1,8,화이트엔젤 보조 탁자,1,2,오동나무 목재,0,4,별빛 이끼,0,5,노블레스 하프시코드,1,1
148,별빛 숲속 캠핑장 튼튼한 참나무,81,157180,별빛 약수,0,5,호두나무 판자,1,5,노블레스 원목 수납장,1,1,그린 올웨이즈 조형 나무,1,2,,,
149,별빛 숲속 캠핑장 그루터기와 장작,82,103590,별빛 이끼,0,5,백금 금속,1,8,오동나무 목재,0,8,화이트엔젤 보조 탁자,1,1,화이트엔젤 크루시아 화분,1,1
150,별빛 숲속 캠핑장 도토리 등불 나무,82,171413,노블레스 침실 벽조명,1,2,골든벨 트리플 벽조명,1,1,알루미늄 금속,1,5,별빛 약수,0,3,별빛 이끼,0,5
151,꿈속의 유니콘 하늘 그네 의자,87,301988,초록잎 미니가든 장식,1,3,봄날 소복한 꽃길,1,7,노블레스 후면 다이닝 테슬 의자,1,3,호두나무 목재,0,7,데코협회 뱃지,0,30
152,꿈속의 유니콘 하늘 창문,87,549116,은 막대기,1,7,포레스트 케이스먼트 창문,1,5,석조 노블레스 창문,1,3,월넛 노블레스 파티션,1,8,,,
153,힐링 스파 스테인드 글라스 파티션,93,882967,노블레스 원목 수납장,1,1,노블레스 화이트 마블 파티션,1,3,노블레스 그린 실크 테슬장식 창문,1,1,화이트엔젤 레이스 스크린,1,3,,,
154,힐링 스파 스팀 버블 자쿠지,93,1303615,별빛 숲속 캠핑장 그루터기와 장작,1,1,노블레스 다이닝 키친 싱크대,1,1,꿈속의 유니콘 사자의 포효 샘물,1,1,반짝반짝 파란 별가루,1,7,호두나무 판자,1,8
155,꿈속의 유니콘 하늘 구름 나무,96,813598,별빛 약수,0,1,별빛 숲속 캠핑장 도토리 등불 나무,1,1,별빛 숲속 캠핑장 튼튼한 참나무,1,1,호두나무 막대기,1,1,별빛 숲속 캠핑장 이정표,1,4
156,꿈속의 유니콘 무지갯빛 조리개,96,860233,별빛 약수,0,10,노블레스 로얄 플라워 센터피스,1,2,꿈속의 유니콘 엔젤 하프,1,1,화이트엔젤 주전자 호롱등,1,1,꿈속의 유니콘 구름 벽등,1,3
157,꿈속의 유니콘 수레,97,838707,화이트엔젤 보건소 타일,1,1,꿈속의 유니콘 하늘 그네 의자,1,1,별빛 숲속 캠핑장 그루터기와 장작,1,1,오동나무 막대기,1,1,,,
158,꿈속의 유니콘 구름다리,99,1443885,별빛 약수,0,5,호두나무 판자,1,4,별빛 숲속 캠핑장 도토리 등불 나무,1,1,꿈속의 유니콘 징검돌,1,1,반짝반짝 분홍 별가루,1,4
159,포포레스랜드 벤치 의자,102,938849,가드닝 파티 원목 쿠션 벤치,1,3,월넛 테슬 의자,1,4,별빛 숲속 캠핑장 캠프파이어 송,1,2,깅코 2인 덩굴 체어,1,6,금 막대기,1,10
160,포포레스랜드 화이트 후면 의자,102,791044,별빛 숲속 캠핑장 통나무 벤치,1,3,원트리 사무용 의자,1,2,노블레스 후면 다이닝 테슬 의자,1,2,별빛 원석,0,7,호두나무 막대기,1,10
161,포포레스랜드 화이트 의자,102,856879,별빛 숲속 캠핑장 통나무 벤치,1,3,가드닝 파티 기다란 테이블,1,3,월넛 테슬 의자,1,5,별빛 원석,0,5,오동나무 막대기,1,7
162,포포레스랜드 화이트 테이블,102,986831,초록잎 러너 티 테이블,1,3,화이트엔젤 보조 탁자,1,4,노블레스 아이보리 원목 테이블,1,3,깅코 2인 덩굴 체어,1,6,금 막대기,1,10
163,빵,4,1,밀,0,1,,,,,,,,,,,,
164,딸기 케이크,4,3,빵,1,1,딸기,0,1,,,,,,,,,
165,식빵,5,4,밀,0,1,우유,0,1,,,,,,,,,
166,애플파이,6,5,빵,1,1,사과,0,1,,,,,,,,,
167,딸기잼 듬뿍 식빵,6,6,식빵,1,1,딸기,0,1,,,,,,,,,
168,샌드위치,6,9,식빵,1,1,토마토,0,1,,,,,,,,,
169,버터,8,6,우유,0,2,,,,,,,,,,,,
170,베리베리 타르트,9,16,블루베리,0,1,딸기,0,4,빵,1,1,,,,,,
171,바삭한 블루베리 파이,10,25,블루베리,0,1,밀,0,5,나무 판자,1,1,,,,,,
172,진한 캬라멜 스프레드,12,20,꿀,0,1,버터,1,1,,,,,,,,,
173,당근 주스,12,126,사과,0,3,당근,0,3,꿀레몬청,1,3,나무 넝쿨,0,5,,,
174,메이플 모닝 팬케이크,13,50,버터,1,2,밀,0,6,진한 캬라멜 스프레드,1,1,,,,,,
175,치즈,15,12,우유,0,3,,,,,,,,,,,,
176,사과 카레 라이스,16,139,감자,0,3,사과,0,6,밀,0,5,달걀,0,1,,,
177,포테이토 피자,16,139,치즈,1,2,빵,1,2,토마토,0,3,감자,0,3,,,
178,딸기잼 바게트 햄퍼,16,92,무명천,1,2,빵,1,4,딸기,0,5,달걀,0,2,,,
179,얼음,17,53,광천수,0,1,,,,,,,,,,,,
180,감자스프,17,181,우유,0,3,감자,0,4,소고기,0,1,,,,,,
181,소고기 그라탕,17,177,치즈,1,3,소고기,0,2,토마토,0,4,,,,,,
182,사과 주스,17,155,꿀,0,5,사과,0,8,광천수,0,1,,,,,,
183,오렌지 에이드,17,161,광천수,0,1,오렌지,0,2,얼음,1,1,,,,,,
184,숙성 등심 스테이크,18,231,토마토,0,2,소고기,0,3,아스파라거스,0,1,,,,,,
185,아스파라거스 파스타,18,184,우유,0,2,밀,0,3,아스파라거스,0,3,,,,,,
186,팝콘,20,302,옥수수,0,5,종이,1,5,,,,,,,,,
187,옥수수 스프,20,276,씨앗,0,2,옥수수,0,3,우유,0,4,접시,1,1,,,
188,토마토 토르텔리니 스프,20,257,토마토,0,5,소고기,0,2,밀,0,5,접시,1,1,,,
189,비프스튜,21,451,토마토,0,3,소고기,0,4,감자,0,3,광천수,0,2,,,
190,설탕,22,95,사탕수수,0,2,,,,,,,,,,,,
191,생크림,22,147,우유,0,5,설탕,1,1,,,,,,,,,
192,오복 아이스티,22,411,찻잎,0,3,오렌지,0,5,복숭아,0,3,얼음,1,1,,,
193,딸기 쇼트 케이크,22,510,생크림,1,2,딸기 케이크,1,2,달걀,0,5,,,,,,
194,봄을 담은 스트로베리 롤케이크,22,772,식기 세트,1,1,딸기,0,10,생크림,1,2,접시,0,1,,,
195,치즈 나초,23,523,옥수수,0,5,치즈,1,5,소금,0,2,,,,,,
196,로얄골드 홍차,24,503,오렌지,0,3,찻잎,0,3,찻잔,1,1,,,,,,
197,유러피안 로얄골드 홍차세트,24,1161,광천수,0,1,로얄골드 홍차,1,1,지그재그 주전자,1,1,,,,,,
198,포도씨유,25,223,포도,0,3,,,,,,,,,,,,
199,계란후라이,25,1031,포도씨유,1,3,달걀,0,2,소금,0,1,,,,,,
200,꽁치 구이,25,758,접시,1,1,꽁치,0,2,소금,0,2,포도씨유,1,1,,,
201,당근 머핀,26,738,포도씨유,1,2,당근,0,3,밀,0,5,달걀,0,3,,,
202,피치 베리 무스컵,26,737,포도,0,2,복숭아,0,4,생크림,1,2,식빵,1,4,,,
203,아메리카노,26,683,커피,0,3,광천수,0,3,찻잔,1,1,,,,,,
204,톡톡팡팡 탄산수,27,632,금속 막대기,1,1,광천수,0,5,유리병,1,1,,,,,,
205,당근 도넛 케이크,27,1943,식기 세트,1,1,생크림,1,3,당근,0,3,버터,1,2,네이비 도트 베이킹 세트,1,1
206,구야시레베시,28,821,그릇,1,1,소고기,0,3,당근,0,3,광천수,0,3,토마토,0,2
207,아이스 아메리카노,28,1098,아메리카노,1,1,얼음,1,2,,,,,,,,,
208,새우튀김,29,1114,포도씨유,1,2,새우,0,3,,,,,,,,,
209,랍스터 치즈 화덕구이,30,1042,치즈,1,5,랍스터,0,5,감자,0,5,접시,1,1,,,
210,초콜릿,32,261,카카오,0,2,버터,1,2,,,,,,,,,
211,연어 샐러드,32,1112,토마토,0,5,연어,0,5,양배추,0,3,접시,1,1,,,
212,참치 통조림,33,1050,캔,1,1,참치,0,3,소금,0,2,,,,,,
213,칠리 새우,33,1286,소금,0,3,새우,0,6,토마토,0,7,그릇,1,1,,,
214,고래기름,35,739,고래,0,2,포도씨유,1,1,,,,,,,,,
215,초코바나나 크레프,35,2457,초콜릿,1,3,바나나,0,4,생크림,1,4,밀,0,4,,,
216,초콜릿베리 무스 케이크,36,1936,체리,0,2,베리베리 타르트,1,1,초콜릿,1,4,접시,1,1,,,
217,캐비어,37,1611,소금,0,8,상어,0,3,캔,1,1,,,,,,
218,초밥 세트,37,2167,달걀,0,5,새우,0,5,연어,0,5,참치,0,5,고급 나무 판자,1,1
219,슈가 체리츄,37,1410,광천수,0,3,체리,0,5,설탕,1,3,,,,,,
220,에그 캐비어,38,2447,달걀,0,3,캐비어,1,1,접시,1,1,,,,,,
221,후레쉬 치킨 샐러드,40,1474,양배추,0,5,닭고기,0,3,토마토,0,5,오렌지,0,5,,,
222,그릴드 허브 치킨,40,1927,아스파라거스,0,3,닭고기,0,5,찻잎,0,3,고급 나무 판자,1,3,,,
